base_coin,period,volatility,timestamp
BTC,30,0.55172399,2025-01-02 10:00:00
BTC,30,0.55162641,2025-01-02 11:00:00
BTC,30,0.55158288,2025-01-02 12:00:00
BTC,30,0.55002258,2025-01-02 13:00:00
BTC,30,0.54719586,2025-01-02 14:00:00
BTC,30,0.54773021,2025-01-02 15:00:00
BTC,30,0.54811732,2025-01-02 16:00:00
BTC,30,0.54825287,2025-01-02 17:00:00
BTC,30,0.54838402,2025-01-02 18:00:00
BTC,30,0.54874898,2025-01-02 19:00:00
BTC,30,0.54870497,2025-01-02 20:00:00
BTC,30,0.54850005,2025-01-02 21:00:00
BTC,30,0.54849797,2025-01-02 22:00:00
BTC,30,0.54853349,2025-01-02 23:00:00
BTC,30,0.54852808,2025-01-03 00:00:00
BTC,30,0.54828326,2025-01-03 01:00:00
BTC,30,0.54807088,2025-01-03 02:00:00
BTC,30,0.54807009,2025-01-03 03:00:00
BTC,30,0.548012,2025-01-03 04:00:00
BTC,30,0.54780571,2025-01-03 05:00:00
BTC,30,0.54780736,2025-01-03 06:00:00
BTC,30,0.54785104,2025-01-03 07:00:00
BTC,30,0.54791379,2025-01-03 08:00:00
BTC,30,0.54793629,2025-01-03 09:00:00
BTC,30,0.54804781,2025-01-03 10:00:00
BTC,30,0.54792572,2025-01-03 11:00:00
BTC,30,0.54794501,2025-01-03 12:00:00
BTC,30,0.54783608,2025-01-03 13:00:00
BTC,30,0.54782684,2025-01-03 14:00:00
BTC,30,0.54814276,2025-01-03 15:00:00
BTC,30,0.54730849,2025-01-03 16:00:00
BTC,30,0.54682289,2025-01-03 17:00:00
BTC,30,0.54638625,2025-01-03 18:00:00
BTC,30,0.54515683,2025-01-03 19:00:00
BTC,30,0.54208724,2025-01-03 20:00:00
BTC,30,0.54077392,2025-01-03 21:00:00
BTC,30,0.54052698,2025-01-03 22:00:00
BTC,30,0.54033599,2025-01-03 23:00:00
BTC,30,0.5402691,2025-01-04 00:00:00
BTC,30,0.54029179,2025-01-04 01:00:00
BTC,30,0.52935725,2025-01-04 02:00:00
BTC,30,0.52612543,2025-01-04 03:00:00
BTC,30,0.52598245,2025-01-04 04:00:00
BTC,30,0.52524259,2025-01-04 05:00:00
BTC,30,0.52484884,2025-01-04 06:00:00
BTC,30,0.52470514,2025-01-04 07:00:00
BTC,30,0.52437043,2025-01-04 08:00:00
BTC,30,0.5245103,2025-01-04 09:00:00
BTC,30,0.52437886,2025-01-04 10:00:00
BTC,30,0.52430412,2025-01-04 11:00:00
BTC,30,0.52421546,2025-01-04 12:00:00
BTC,30,0.5242072,2025-01-04 13:00:00
BTC,30,0.52357738,2025-01-04 14:00:00
BTC,30,0.5182437,2025-01-04 15:00:00
BTC,30,0.5183272,2025-01-04 16:00:00
BTC,30,0.51826053,2025-01-04 17:00:00
BTC,30,0.51691813,2025-01-04 18:00:00
BTC,30,0.51530663,2025-01-04 19:00:00
BTC,30,0.51535009,2025-01-04 20:00:00
BTC,30,0.51556823,2025-01-04 21:00:00
BTC,30,0.50935288,2025-01-04 22:00:00
BTC,30,0.50922887,2025-01-04 23:00:00
BTC,30,0.50885508,2025-01-05 00:00:00
BTC,30,0.50848467,2025-01-05 01:00:00
BTC,30,0.50814526,2025-01-05 02:00:00
BTC,30,0.50812711,2025-01-05 03:00:00
BTC,30,0.50811065,2025-01-05 04:00:00
BTC,30,0.50814757,2025-01-05 05:00:00
BTC,30,0.50808369,2025-01-05 06:00:00
BTC,30,0.50809073,2025-01-05 07:00:00
BTC,30,0.5080957,2025-01-05 08:00:00
BTC,30,0.50816762,2025-01-05 09:00:00
BTC,30,0.50820177,2025-01-05 10:00:00
BTC,30,0.508203,2025-01-05 11:00:00
BTC,30,0.50798362,2025-01-05 12:00:00
BTC,30,0.50683997,2025-01-05 13:00:00
BTC,30,0.50584227,2025-01-05 14:00:00
BTC,30,0.50584098,2025-01-05 15:00:00
BTC,30,0.5057696,2025-01-05 16:00:00
BTC,30,0.50155329,2025-01-05 17:00:00
BTC,30,0.50130397,2025-01-05 18:00:00
BTC,30,0.50132916,2025-01-05 19:00:00
BTC,30,0.50135947,2025-01-05 20:00:00
BTC,30,0.50021402,2025-01-05 21:00:00
BTC,30,0.50025305,2025-01-05 22:00:00
BTC,30,0.49958325,2025-01-05 23:00:00
BTC,30,0.49937609,2025-01-06 00:00:00
BTC,30,0.49934323,2025-01-06 01:00:00
BTC,30,0.4996754,2025-01-06 02:00:00
BTC,30,0.49917149,2025-01-06 03:00:00
BTC,30,0.49917945,2025-01-06 04:00:00
BTC,30,0.49927556,2025-01-06 05:00:00
BTC,30,0.49926757,2025-01-06 06:00:00
BTC,30,0.49927532,2025-01-06 07:00:00
BTC,30,0.49932538,2025-01-06 08:00:00
BTC,30,0.49934689,2025-01-06 09:00:00
BTC,30,0.49931828,2025-01-06 10:00:00
BTC,30,0.49937222,2025-01-06 11:00:00
BTC,30,0.4996234,2025-01-06 12:00:00
BTC,30,0.49962516,2025-01-06 13:00:00
BTC,30,0.49974417,2025-01-06 14:00:00
