symbol,funding_rate,timestamp
BTCUSDT,-4.799e-05,2024-12-20 00:00:00
BTCUSDT,-2.748e-05,2024-12-19 16:00:00
BTCUSDT,-4.531e-05,2024-12-19 08:00:00
BTCUSDT,6.854e-05,2024-12-19 00:00:00
BTCUSDT,0.0001,2024-12-18 16:00:00
BTCUSDT,9.332e-05,2024-12-18 08:00:00
BTCUSDT,0.0001,2024-12-18 00:00:00
BTCUSDT,0.0001,2024-12-17 16:00:00
BTCUSDT,0.0001,2024-12-17 08:00:00
BTCUSDT,0.0001,2024-12-17 00:00:00
BTCUSDT,0.0001,2024-12-16 16:00:00
BTCUSDT,0.0001,2024-12-16 08:00:00
BTCUSDT,0.0001,2024-12-16 00:00:00
BTCUSDT,0.0001,2024-12-15 16:00:00
BTCUSDT,0.0001,2024-12-15 08:00:00
BTCUSDT,0.0001,2024-12-15 00:00:00
BTCUSDT,0.0001,2024-12-14 16:00:00
BTCUSDT,0.0001,2024-12-14 08:00:00
BTCUSDT,0.0001,2024-12-14 00:00:00
BTCUSDT,0.0001,2024-12-13 16:00:00
BTCUSDT,0.0001,2024-12-13 08:00:00
BTCUSDT,0.0001,2024-12-13 00:00:00
BTCUSDT,0.0001,2024-12-12 16:00:00
BTCUSDT,0.0001,2024-12-12 08:00:00
BTCUSDT,0.0001,2024-12-12 00:00:00
BTCUSDT,0.0001,2024-12-11 16:00:00
BTCUSDT,0.0001,2024-12-11 08:00:00
BTCUSDT,0.0001,2024-12-11 00:00:00
BTCUSDT,0.0001,2024-12-10 16:00:00
BTCUSDT,0.0001,2024-12-10 08:00:00
BTCUSDT,0.0001,2024-12-10 00:00:00
BTCUSDT,0.00015788,2024-12-09 16:00:00
BTCUSDT,0.0001,2024-12-09 08:00:00
BTCUSDT,0.00017858,2024-12-09 00:00:00
BTCUSDT,0.00029123,2024-12-08 16:00:00
BTCUSDT,0.00024888,2024-12-08 08:00:00
BTCUSDT,0.00026121,2024-12-08 00:00:00
BTCUSDT,0.0001,2024-12-07 16:00:00
BTCUSDT,0.0001,2024-12-07 08:00:00
BTCUSDT,0.00015125,2024-12-07 00:00:00
BTCUSDT,0.0001,2024-12-06 16:00:00
BTCUSDT,0.0001,2024-12-06 08:00:00
BTCUSDT,0.00013466,2024-12-06 00:00:00
BTCUSDT,0.00064806,2024-12-05 16:00:00
BTCUSDT,0.00108552,2024-12-05 08:00:00
BTCUSDT,0.00031187,2024-12-05 00:00:00
BTCUSDT,0.00036313,2024-12-04 16:00:00
BTCUSDT,0.00042588,2024-12-04 08:00:00
BTCUSDT,0.00027771,2024-12-04 00:00:00
BTCUSDT,0.00012348,2024-12-03 16:00:00
BTCUSDT,0.00025103,2024-12-03 08:00:00
BTCUSDT,0.0001,2024-12-03 00:00:00
BTCUSDT,0.0001,2024-12-02 16:00:00
BTCUSDT,0.00014214,2024-12-02 08:00:00
BTCUSDT,0.00015058,2024-12-02 00:00:00
BTCUSDT,0.00016625,2024-12-01 16:00:00
BTCUSDT,0.0003311,2024-12-01 08:00:00
BTCUSDT,0.0001532,2024-12-01 00:00:00
BTCUSDT,0.00015012,2024-11-30 16:00:00
BTCUSDT,0.00028189,2024-11-30 08:00:00
BTCUSDT,0.00016876,2024-11-30 00:00:00
BTCUSDT,0.00035268,2024-11-29 16:00:00
BTCUSDT,0.0002543,2024-11-29 08:00:00
BTCUSDT,0.00030861,2024-11-29 00:00:00
BTCUSDT,0.00023188,2024-11-28 16:00:00
BTCUSDT,0.00019894,2024-11-28 08:00:00
BTCUSDT,0.00019422,2024-11-28 00:00:00
BTCUSDT,0.00027093,2024-11-27 16:00:00
BTCUSDT,0.00023229,2024-11-27 08:00:00
BTCUSDT,0.00023609,2024-11-27 00:00:00
BTCUSDT,0.0001,2024-11-26 16:00:00
BTCUSDT,0.00012749,2024-11-26 08:00:00
BTCUSDT,0.0001,2024-11-26 00:00:00
BTCUSDT,0.00034875,2024-11-25 16:00:00
